station_id,date,min_temp,max_temp,weather
43367,12-Aug,26.0,29.0,Generally cloudy sky with one or two spells of rain or thundershowers
43367,13-Aug,25.0,29.0,Generally cloudy sky with one or two spells of rain or thundershowers
43367,14-Aug,25.0,28.0,Generally cloudy sky with a few spells of rain or thundershowers
43367,15-Aug,27.0,28.0,Generally cloudy sky with a few spells of rain or thundershowers
43367,16-Aug,26.0,30.0,Generally cloudy sky with one or two spells of rain or thundershowers
43367,17-Aug,27.0,30.0,Generally cloudy sky with possibility of rain or Thunderstorm
43367,18-Aug,27.0,30.0,Generally cloudy sky with possibility of rain or Thunderstorm
43309,12-Aug,27.0,30.0,Generally cloudy sky with one or two spells of rain or thundershowers
43309,13-Aug,27.0,30.0,Generally cloudy sky with one or two spells of rain or thundershowers
43309,14-Aug,27.0,31.0,Generally cloudy sky with a few spells of rain or thundershowers
43309,15-Aug,26.0,30.0,Generally cloudy sky with a few spells of rain or thundershowers
43309,16-Aug,26.0,30.0,Generally cloudy sky with one or two spells of rain or thundershowers
43309,17-Aug,27.0,29.0,Generally cloudy sky with possibility of rain or Thunderstorm
43309,18-Aug,27.0,30.0,Generally cloudy sky with possibility of rain or Thunderstorm
43382,12-Aug,26.0,29.0,Generally cloudy sky with one or two spells of rain or thundershowers
43382,13-Aug,26.0,29.0,Generally cloudy sky with one or two spells of rain or thundershowers
43382,14-Aug,25.0,28.0,Generally cloudy sky with a few spells of rain or thundershowers
43382,15-Aug,26.0,29.0,Generally cloudy sky with a few spells of rain or thundershowers
43382,16-Aug,26.0,29.0,Generally cloudy sky with one or two spells of rain or thundershowers
43382,17-Aug,27.0,28.0,Generally cloudy sky with possibility of rain or Thunderstorm
43382,18-Aug,27.0,28.0,Generally cloudy sky with possibility of rain or Thunderstorm
43333,12-Aug,26.0,31.0,Generally cloudy sky with one or two spells of rain or thundershowers
43333,13-Aug,25.0,30.0,Generally cloudy sky with one or two spells of rain or thundershowers
43333,14-Aug,25.0,30.0,Generally cloudy sky with a few spells of rain or thundershowers
43333,15-Aug,25.0,29.0,Generally cloudy sky with one or two spells of rain or thundershowers
43333,16-Aug,25.0,29.0,Generally cloudy sky with one or two spells of rain or thundershowers
43333,17-Aug,26.0,29.0,Generally cloudy sky with possibility of rain or Thunderstorm
43333,18-Aug,25.0,30.0,Generally cloudy sky with possibility of rain or Thunderstorm
99369,12-Aug,26.0,35.0,Generally cloudy sky with one or two spells of rain or thundershowers
99369,13-Aug,26.0,35.0,Generally cloudy sky with one or two spells of rain or thundershowers
99369,14-Aug,26.0,35.0,Generally cloudy sky with Light rain
99369,15-Aug,27.0,36.0,Generally cloudy sky with Light rain
99369,16-Aug,27.0,36.0,Generally cloudy sky with Light rain
99369,17-Aug,27.0,36.0,Rain
99369,18-Aug,27.0,36.0,Rain
43176,12-Aug,99.9,36.0,Generally cloudy sky with Light rain
43176,13-Aug,24.0,36.0,Generally cloudy sky with Light rain
43176,14-Aug,24.0,36.0,Generally cloudy sky with Light rain
43176,15-Aug,25.0,37.0,Generally cloudy sky with Light rain
43176,16-Aug,25.0,37.0,Generally cloudy sky with one or two spells of rain or thundershowers
43176,17-Aug,25.0,37.0,Generally cloudy sky with possibility of rain or Thunderstorm
43176,18-Aug,26.0,37.0,Generally cloudy sky with possibility of rain or Thunderstorm
43237,12-Aug,25.0,33.0,Generally cloudy sky with one or two spells of rain or thundershowers
43237,13-Aug,25.0,33.0,Generally cloudy sky with one or two spells of rain or thundershowers
43237,14-Aug,25.0,33.0,Generally cloudy sky with Light rain
43237,15-Aug,26.0,34.0,Generally cloudy sky with Light rain
43237,16-Aug,26.0,34.0,Generally cloudy sky with Light rain
43237,17-Aug,26.0,34.0,Generally cloudy sky with possibility of rain or Thunderstorm
43237,18-Aug,26.0,35.0,Generally cloudy sky with possibility of rain or Thunderstorm
99364,12-Aug,25.0,34.0,Generally cloudy sky with Light rain
99364,13-Aug,25.0,34.0,Generally cloudy sky with Light rain
99364,14-Aug,25.0,34.0,Generally cloudy sky with Light rain
99364,15-Aug,26.0,35.0,Generally cloudy sky with Light rain
99364,16-Aug,26.0,35.0,Generally cloudy sky with Light rain
99364,17-Aug,26.0,35.0,Generally cloudy sky with possibility of rain or Thunderstorm
99364,18-Aug,26.0,35.0,Generally cloudy sky with possibility of rain or Thunderstorm
43220,12-Aug,23.0,33.0,Generally cloudy sky with one or two spells of rain or thundershowers
43220,13-Aug,23.0,33.0,Generally cloudy sky with one or two spells of rain or thundershowers
43220,14-Aug,24.0,33.0,Generally cloudy sky with Light rain
43220,15-Aug,24.0,34.0,Generally cloudy sky with Light rain
43220,16-Aug,25.0,34.0,Generally cloudy sky with Light rain
43220,17-Aug,25.0,34.0,Rain
43220,18-Aug,25.0,35.0,Rain
43241,12-Aug,26.0,32.0,Generally cloudy sky with one or two spells of rain or thundershowers
43241,13-Aug,26.0,32.0,Generally cloudy sky with one or two spells of rain or thundershowers
43241,14-Aug,26.0,32.0,Generally cloudy sky with Light rain
43241,15-Aug,25.0,33.0,Generally cloudy sky with Light rain
43241,16-Aug,25.0,33.0,Generally cloudy sky with Light rain
43241,17-Aug,25.0,33.0,Generally cloudy sky with possibility of rain or Thunderstorm
43241,18-Aug,25.0,34.0,Generally cloudy sky with possibility of rain or Thunderstorm
99368,12-Aug,26.0,37.0,Generally cloudy sky with one or two spells of rain or thundershowers
99368,13-Aug,26.0,37.0,Generally cloudy sky with one or two spells of rain or thundershowers
99368,14-Aug,26.0,37.0,Generally cloudy sky with Light rain
99368,15-Aug,27.0,38.0,Generally cloudy sky with Light rain
99368,16-Aug,27.0,38.0,Generally cloudy sky with Light rain
99368,17-Aug,27.0,38.0,Rain
99368,18-Aug,27.0,38.0,Rain
99366,12-Aug,99.9,36.0,Generally cloudy sky with Light rain
99366,13-Aug,24.0,36.0,Generally cloudy sky with Light rain
99366,14-Aug,24.0,36.0,Generally cloudy sky with Light rain
99366,15-Aug,25.0,37.0,Generally cloudy sky with Light rain
99366,16-Aug,25.0,37.0,Generally cloudy sky with one or two spells of rain or thundershowers
99366,17-Aug,25.0,37.0,Generally cloudy sky with possibility of rain or Thunderstorm
99366,18-Aug,26.0,37.0,Generally cloudy sky with possibility of rain or Thunderstorm
43189,12-Aug,26.0,36.0,Generally cloudy sky with one or two spells of rain or thundershowers
43189,13-Aug,26.0,36.0,Generally cloudy sky with one or two spells of rain or thundershowers
43189,14-Aug,26.0,36.0,Generally cloudy sky with Light rain
43189,15-Aug,27.0,37.0,Generally cloudy sky with Light rain
43189,16-Aug,27.0,37.0,Generally cloudy sky with Light rain
43189,17-Aug,27.0,37.0,Generally cloudy sky with possibility of rain or Thunderstorm
43189,18-Aug,27.0,37.0,Generally cloudy sky with possibility of rain or Thunderstorm
99362,12-Aug,26.0,36.0,Generally cloudy sky with one or two spells of rain or thundershowers
99362,13-Aug,26.0,36.0,Generally cloudy sky with one or two spells of rain or thundershowers
99362,14-Aug,26.0,36.0,Generally cloudy sky with Light rain
99362,15-Aug,27.0,37.0,Generally cloudy sky with Light rain
99362,16-Aug,27.0,37.0,Generally cloudy sky with Light rain
99362,17-Aug,27.0,37.0,Generally cloudy sky with possibility of rain or Thunderstorm
99362,18-Aug,27.0,37.0,Generally cloudy sky with possibility of rain or Thunderstorm
43105,12-Aug,26.0,35.0,Generally cloudy sky with one or two spells of rain or thundershowers
43105,13-Aug,26.0,35.0,Generally cloudy sky with one or two spells of rain or thundershowers
43105,14-Aug,26.0,35.0,Generally cloudy sky with Light rain
43105,15-Aug,27.0,36.0,Generally cloudy sky with Light rain
43105,16-Aug,27.0,36.0,Generally cloudy sky with one or two spells of rain or thundershowers
43105,17-Aug,27.0,36.0,Generally cloudy sky with possibility of rain or Thunderstorm
